table_id,otsl_square,raw_cell_count,bbox_sync,raw_bbox_count,n_raw_overlaps,n_cells_at_overlap_check,n_exact_duplicates
pubtabnet_tok_713774_table0,True,27,True,27,3,27,0
pubtabnet_tok_665630_table0,True,12,True,12,4,12,0
pubtabnet_tok_642953_table0,True,25,True,25,1,25,0
pubtabnet_tok_586047_table0,True,49,True,49,6,49,0
pubtabnet_tok_573003_table0,True,95,True,95,24,95,0
pubtabnet_tok_563699_table0,True,56,True,56,3,56,0
pubtabnet_tok_622581_table0,True,35,True,35,9,35,0
pubtabnet_tok_723463_table0,True,180,True,180,5,180,0
pubtabnet_tok_566196_table0,True,148,True,148,0,148,0
pubtabnet_tok_581358_table0,True,75,True,75,0,75,0
pubtabnet_tok_664492_table0,True,23,True,23,6,23,0
pubtabnet_tok_587456_table0,True,29,True,29,0,29,0
pubtabnet_tok_674911_table0,True,76,True,76,0,76,0
pubtabnet_tok_586722_table0,True,100,True,100,0,100,0
pubtabnet_tok_614279_table0,True,122,True,122,1,122,0
pubtabnet_tok_622741_table0,True,18,True,18,0,18,0
pubtabnet_tok_701544_table0,True,8,True,8,3,8,0
pubtabnet_tok_650505_table0,True,30,True,30,9,30,0
pubtabnet_tok_657150_table0,True,30,True,30,14,30,0
pubtabnet_tok_683662_table0,True,115,True,115,0,115,0
pubtabnet_tok_699822_table0,True,29,True,29,0,29,0
pubtabnet_tok_644070_table0,True,18,True,18,4,18,0
pubtabnet_tok_571472_table0,True,22,True,22,0,22,0
pubtabnet_tok_564424_table0,True,70,True,70,6,70,0
pubtabnet_tok_629558_table0,True,345,True,345,33766,345,0
pubtabnet_tok_707297_table0,True,30,True,30,5,30,0
pubtabnet_tok_730065_table0,True,58,True,58,2,58,0
pubtabnet_tok_664752_table0,True,38,True,38,14,38,0
pubtabnet_tok_707628_table0,True,48,True,48,0,48,0
pubtabnet_tok_627747_table0,True,30,True,30,0,30,0
pubtabnet_tok_724618_table0,True,66,True,66,0,66,0
pubtabnet_tok_684582_table0,True,84,True,84,1,84,0
pubtabnet_tok_698176_table0,True,28,True,28,1,28,0
pubtabnet_tok_721570_table0,True,18,True,18,9,18,0
pubtabnet_tok_624025_table0,True,51,True,51,18,51,0
pubtabnet_tok_722429_table0,True,40,True,40,21,40,0
pubtabnet_tok_656080_table0,True,145,True,145,1,145,0
pubtabnet_tok_639579_table0,True,76,True,76,0,76,0
pubtabnet_tok_562384_table0,True,140,True,140,0,140,0
pubtabnet_tok_634445_table0,True,152,True,152,34,152,0
pubtabnet_tok_579989_table0,True,30,True,30,0,30,0
pubtabnet_tok_723545_table0,True,47,True,47,3,47,0
pubtabnet_tok_630478_table0,True,105,True,105,0,105,0
pubtabnet_tok_723237_table0,True,20,True,20,10,20,0
pubtabnet_tok_564154_table0,True,21,True,21,2,21,0
pubtabnet_tok_597425_table0,True,111,True,111,8,111,0
pubtabnet_tok_709582_table0,True,86,True,86,0,86,0
pubtabnet_tok_551822_table0,True,65,True,65,2,65,0
pubtabnet_tok_577340_table0,True,81,True,81,3,81,0
pubtabnet_tok_665351_table0,True,45,True,45,7,45,0
pubtabnet_tok_626798_table0,True,105,True,105,0,105,0
pubtabnet_tok_581116_table0,True,99,True,99,10,99,0
pubtabnet_tok_722546_table0,True,112,True,112,0,112,0
pubtabnet_tok_578521_table0,True,108,True,108,0,108,0
