table_id,otsl_square,raw_cell_count,bbox_sync,raw_bbox_count,n_raw_overlaps,n_cells_at_overlap_check
PMC3684516_006_00_table0,True,38,True,38,0,38
PMC3703728_004_00_table0,True,16,True,16,0,16
PMC3717090_003_00_table0,True,68,True,68,0,68
PMC3717309_009_00_table0,True,32,True,32,0,32
PMC3721364_002_00_table0,True,90,True,90,0,90
PMC3760039_004_00_table0,True,68,True,68,4,68
PMC3767362_004_00_table0,True,36,True,36,0,36
PMC3786908_005_00_table0,True,167,True,167,23,167
PMC3795374_007_00_table0,True,58,True,58,0,58
PMC3806811_005_00_table0,True,135,True,135,0,135
PMC3844572_003_00_table0,True,68,True,68,3,68
PMC3849281_006_00_table0,True,70,True,70,0,70
PMC3849369_003_02_table0,True,30,True,30,1,30
PMC3853718_004_00_table0,True,64,True,64,0,64
PMC3902003_005_00_table0,True,106,True,106,2,106
PMC3926264_006_00_table0,True,20,True,20,0,20
PMC3928613_004_00_table0,True,21,True,21,0,21
PMC3948586_003_00_table0,True,55,True,55,0,55
PMC3954945_003_00_table0,True,35,True,35,0,35
PMC3955613_002_01_table0,True,45,True,45,0,45
PMC3968966_016_00_table0,True,12,True,12,0,12
PMC3977809_005_00_table0,True,36,True,36,0,36
PMC4005030_005_00_table0,True,70,True,70,1,70
PMC4016538_002_01_table0,True,20,True,20,0,20
PMC4022404_001_00_table0,True,16,True,16,0,16
PMC4034402_003_00_table0,True,19,True,19,0,19
PMC4039653_001_00_table0,True,35,True,35,0,35
PMC4046518_001_00_table0,True,28,True,28,0,28
PMC4055858_004_01_table0,True,47,True,47,0,47
PMC4068095_007_00_table0,True,15,True,15,1,15
PMC4084799_005_01_table0,True,22,True,22,0,22
PMC4085395_008_00_table0,True,45,True,45,0,45
PMC4105505_002_01_table0,True,175,True,175,0,175
PMC4114085_003_00_table0,True,20,True,20,0,20
PMC4117277_004_01_table0,True,30,True,30,0,30
PMC4124753_003_00_table0,True,216,True,216,2,216
PMC4126153_006_00_table0,True,53,True,53,0,53
PMC4139019_002_00_table0,True,60,True,60,0,60
PMC4148700_005_00_table0,True,133,True,133,48,133
PMC4158467_002_00_table0,True,34,True,34,4,34
PMC4175503_005_00_table0,True,15,True,15,0,15
PMC4186434_005_00_table0,True,104,True,104,2,104
PMC4191077_006_00_table0,True,30,True,30,0,30
PMC4196006_010_00_table0,True,16,True,16,0,16
PMC4210973_002_00_table0,True,9,True,9,3,9
PMC4213222_007_00_table0,True,135,True,135,1,135
PMC4216169_003_00_table0,True,40,True,40,9,40
PMC4216814_005_01_table0,True,77,True,77,0,77
PMC4223373_002_00_table0,True,12,True,12,0,12
PMC4245059_003_00_table0,True,114,True,114,0,114
PMC4255939_004_00_table0,True,30,True,30,0,30
PMC4271572_000_00_table0,True,15,True,15,0,15
PMC4274654_002_00_table0,True,80,True,80,0,80
PMC4289570_005_00_table0,True,60,True,60,1,60
PMC4292575_008_00_table0,True,25,True,25,0,25
PMC4305205_005_00_table0,True,117,True,117,37,117
PMC4324783_005_01_table0,True,59,True,59,0,59
PMC4328233_004_01_table0,True,45,True,45,0,45
PMC4336278_004_00_table0,True,92,True,92,0,92
PMC4346106_003_02_table0,True,27,True,27,0,27
PMC4357144_003_00_table0,True,36,True,36,0,36
PMC4385696_007_01_table0,True,90,True,90,0,90
PMC4395974_015_00_table0,True,22,True,22,2,22
PMC4422425_004_00_table0,True,108,True,108,0,108
PMC4424584_006_00_table0,True,100,True,100,0,100
PMC4425111_006_00_table0,True,36,True,36,0,36
PMC4436462_003_00_table0,True,21,True,21,0,21
PMC4448316_003_00_table0,True,88,True,88,0,88
PMC4496388_006_00_table0,True,42,True,42,2,42
PMC4504447_003_00_table0,True,269,True,269,4,269
PMC4551382_002_01_table0,True,156,True,156,5,156
PMC4561106_003_00_table0,True,43,True,43,10,43
PMC4568072_003_00_table0,True,130,True,130,0,130
PMC4580843_008_00_table0,True,18,True,18,4,18
PMC4582642_003_00_table0,True,45,True,45,1,45
PMC4606065_001_00_table0,True,76,True,76,0,76
PMC4609810_006_00_table0,True,10,True,10,0,10
PMC4619489_003_00_table0,True,24,True,24,0,24
PMC4628133_006_00_table0,True,95,True,95,0,95
PMC4650392_007_00_table0,True,24,True,24,0,24
PMC4664035_006_00_table0,True,115,True,115,19,115
PMC4683958_003_00_table0,True,69,True,69,1,69
PMC4689887_002_01_table0,True,8,True,8,0,8
PMC4715334_003_00_table0,True,20,True,20,0,20
PMC4717583_005_00_table0,True,40,True,40,0,40
PMC4717610_007_00_table0,True,85,True,85,0,85
PMC4730269_002_00_table0,True,18,True,18,3,18
PMC4730436_004_02_table0,True,60,True,60,21,60
PMC4731922_007_00_table0,True,399,True,399,9,399
PMC4763040_019_00_table0,True,36,True,36,0,36
PMC4766161_008_00_table0,True,57,True,57,0,57
PMC4776447_003_00_table0,True,16,True,16,0,16
PMC4787036_007_00_table0,True,16,True,16,0,16
PMC4803977_006_02_table0,True,20,True,20,0,20
PMC4810270_004_00_table0,True,15,True,15,6,15
PMC4813933_020_00_table0,True,10,True,10,6,10
PMC4819286_003_00_table0,True,192,True,192,25,192
PMC4819881_003_00_table0,True,132,True,132,39,132
PMC4825395_002_00_table0,True,72,True,72,9,72
PMC4832254_001_00_table0,True,40,True,40,6,40
PMC4918015_002_01_table0,True,45,True,45,0,45
PMC4948082_002_00_table0,True,9,True,9,0,9
PMC4966808_004_00_table0,True,264,True,264,1,264
PMC4968004_002_00_table0,True,54,True,54,8,54
PMC4991048_006_00_table0,True,29,True,29,2,29
PMC4991404_003_00_table0,True,78,True,78,2,78
PMC5015930_002_00_table0,True,122,True,122,0,122
PMC5034455_003_00_table0,True,147,True,147,0,147
PMC5036707_007_00_table0,True,156,True,156,35,156
PMC5045658_003_00_table0,True,19,True,19,0,19
PMC5054624_002_00_table0,True,175,True,175,0,175
PMC5055927_003_00_table0,True,21,True,21,0,21
PMC5073820_006_00_table0,True,81,True,81,0,81
PMC5085793_002_00_table0,True,87,True,87,22,87
PMC5086771_003_00_table0,True,39,True,39,25,39
PMC5089972_004_00_table0,True,18,True,18,0,18
PMC5090133_003_00_table0,True,51,True,51,0,51
PMC5101800_002_00_table0,True,105,True,105,0,105
PMC5110456_006_00_table0,True,36,True,36,0,36
PMC5112721_007_00_table0,True,66,True,66,0,66
PMC5120099_003_00_table0,True,130,True,130,1,130
PMC5129238_007_00_table0,True,241,True,241,4,241
PMC5180395_003_01_table0,True,68,True,68,0,68
PMC5198199_004_00_table0,True,30,True,30,9,30
PMC5217632_005_00_table0,True,182,True,182,4,182
PMC5219678_004_01_table0,True,42,True,42,2,42
PMC5237144_003_00_table0,True,55,True,55,0,55
PMC5260062_007_00_table0,True,25,True,25,0,25
PMC5288891_008_00_table0,True,105,True,105,2,105
PMC5302705_004_00_table0,True,22,True,22,10,22
PMC5325427_004_00_table0,True,75,True,75,0,75
PMC5334763_008_00_table0,True,33,True,33,0,33
PMC5337523_002_00_table0,True,28,True,28,0,28
PMC5339403_003_00_table0,True,18,True,18,0,18
PMC5352433_004_00_table0,True,148,True,148,1,148
PMC5353302_006_00_table0,True,122,True,122,37,122
PMC5361779_002_01_table0,True,108,True,108,0,108
PMC5399804_005_00_table0,True,32,True,32,4,32
PMC5418760_004_00_table0,True,75,True,75,0,75
PMC5437602_003_01_table0,True,66,True,66,0,66
PMC5459126_003_00_table0,True,21,True,21,0,21
PMC5460321_002_00_table0,True,48,True,48,0,48
PMC5460447_003_01_table0,True,45,True,45,0,45
PMC5461740_009_00_table0,True,235,True,235,10,235
PMC5467019_001_00_table0,True,125,True,125,2,125
PMC5469327_003_01_table0,True,69,True,69,0,69
PMC5477129_005_00_table0,True,24,True,24,0,24
PMC5477578_003_00_table0,True,204,True,204,44,204
PMC5486317_004_01_table0,True,88,True,88,11,88
PMC5488390_007_00_table0,True,60,True,60,0,60
PMC5496972_006_00_table0,True,49,True,49,1,49
PMC5512725_007_00_table0,True,297,True,297,3,297
PMC5513918_005_00_table0,True,75,True,75,0,75
PMC5521101_007_00_table0,True,96,True,96,1,96
PMC5523229_002_00_table0,True,45,True,45,0,45
PMC5548834_006_00_table0,True,52,True,52,0,52
PMC5552720_003_00_table0,True,113,True,113,0,113
PMC5564545_003_00_table0,True,30,True,30,0,30
PMC5575548_004_00_table0,True,48,True,48,0,48
PMC5580410_011_01_table0,True,84,True,84,2,84
PMC5592746_004_00_table0,True,18,True,18,0,18
PMC5593555_002_00_table0,True,132,True,132,1,132
PMC5593696_010_00_table0,True,78,True,78,16,78
PMC5594499_003_02_table0,True,12,True,12,0,12
PMC5617411_003_00_table0,True,148,True,148,4,148
PMC5619368_003_00_table0,True,48,True,48,0,48
PMC5644180_003_00_table0,True,72,True,72,0,72
PMC5645867_004_00_table0,True,61,True,61,13,61
PMC5651560_006_00_table0,True,310,True,310,7,310
PMC5657078_005_00_table0,True,26,True,26,0,26
PMC5660893_002_00_table0,True,31,True,31,0,31
PMC5666942_005_00_table0,True,44,True,44,22,44
PMC5691869_005_00_table0,True,50,True,50,0,50
PMC5719824_003_00_table0,True,24,True,24,0,24
PMC5722550_004_00_table0,True,86,True,86,2,86
PMC5722811_002_00_table0,True,46,True,46,0,46
PMC5741928_005_00_table0,True,84,True,84,0,84
PMC5746122_002_01_table0,True,20,True,20,0,20
PMC5747154_009_00_table0,True,39,True,39,0,39
PMC5750921_011_00_table0,True,96,True,96,23,96
PMC5769303_006_00_table0,True,50,True,50,0,50
PMC5787654_003_00_table0,True,59,True,59,0,59
PMC5793057_006_01_table0,True,18,True,18,12,18
PMC5796576_002_00_table0,True,30,True,30,0,30
PMC5798027_010_00_table0,True,51,True,51,0,51
PMC5802566_003_00_table0,True,42,True,42,0,42
PMC5837340_002_00_table0,True,14,True,14,6,14
PMC5841625_008_00_table0,True,333,True,333,12,333
PMC5842539_001_00_table0,True,15,True,15,0,15
PMC5848447_007_00_table0,True,54,True,54,0,54
PMC5849699_003_00_table0,True,15,True,15,3,15
PMC5852758_003_00_table0,True,150,True,150,2,150
PMC5855655_003_00_table0,True,20,True,20,8,20
PMC5857048_009_00_table0,True,18,True,18,12,18
PMC5876316_004_00_table0,True,120,True,120,0,120
PMC5876557_008_00_table0,True,50,True,50,14,50
PMC5899353_004_00_table0,True,16,True,16,0,16
PMC5915139_004_00_table0,True,215,True,215,5,215
PMC5924465_003_00_table0,True,36,True,36,0,36
PMC5925324_008_00_table0,True,74,True,74,0,74
PMC5944135_006_01_table0,True,55,True,55,0,55
PMC5944304_004_00_table0,True,24,True,24,0,24
PMC5949357_005_00_table0,True,144,True,144,11,144
PMC5978669_002_00_table0,True,75,True,75,27,75
PMC5978925_001_00_table0,True,39,True,39,0,39
PMC5981925_015_00_table0,True,54,True,54,21,54
PMC5984824_003_00_table0,True,55,True,55,2,55
PMC5992646_009_00_table0,True,25,True,25,0,25
PMC6016759_003_00_table0,True,226,True,226,1,226
PMC6052555_003_00_table0,True,64,True,64,0,64
PMC6073601_006_00_table0,True,20,True,20,10,20
PMC6076400_005_01_table0,True,32,True,32,0,32
PMC6081795_002_00_table0,True,112,True,112,0,112
PMC6083398_002_00_table0,True,42,True,42,5,42
PMC6085917_004_00_table0,True,114,True,114,0,114
PMC6090336_003_00_table0,True,16,True,16,2,16
